estimated_time,job,model_name,dataset_name,epochs,max_epochs,patience,lr,batch_size,weight_decay,t,knn,n_neighbors,min_dist,epsilon,subsample,lam,margin
360,-1,UMAP,Embryoid,,,,,,,,,50,0.1,,,,
6,-1,UMAP,Faces,,,,,,,,,15,0.1,,,,
35,-1,UMAP,IPSC,,,,,,,,,50,0.1,,,,
3,-1,UMAP,RotatedDigits,,,,,,,,,15,0.1,,,,
2,-1,UMAP,SwissRoll,,,,,,,,,20,0.1,,,,
11,-1,UMAP,Teapot,,,,,,,,,15,0.1,,,,
170,-1,UMAP,Tracking,,,,,,,,,15,0.1,,,,
9,-1,UMAP,UMIST,,,,,,,,,15,0.1,,,,
25,0,AE,Embryoid,1000,1000,30,0.0001,128,1,,,,,,,,
12,0,AE,Faces,4000,4000,50,0.0001,128,1,,,,,,,,
56,0,AE,IPSC,1000,1000,30,0.0001,128,1,,,,,,,,
5,0,AE,RotatedDigits,4000,4000,50,0.0001,128,1,,,,,,,,
16,0,AE,SwissRoll,400,400,10,0.0001,128,1,,,,,,,,
15,0,AE,Teapot,4000,4000,50,0.0001,128,1,,,,,,,,
30,0,AE,Tracking,4000,4000,50,0.0001,128,1,,,,,,,,
20,0,AE,UMIST,4000,4000,50,0.0001,128,1,,,,,,,,
125,0,DiffusionNet,Embryoid,1000,1000,30,0.0001,128,1,,,100,,,,,
6,0,DiffusionNet,Faces,4000,4000,50,0.0001,128,1,,,15,,,,,
13,0,DiffusionNet,IPSC,1000,1000,30,0.0001,128,1,,,200,,50,30000,,
6,0,DiffusionNet,RotatedDigits,4000,4000,50,0.0001,128,1,,,200,,50,,,
16,0,DiffusionNet,SwissRoll,400,400,10,0.0001,128,1,,,100,,,,,
20,0,DiffusionNet,Teapot,4000,4000,50,0.0001,128,1,,,15,,,,,
28,0,DiffusionNet,Tracking,4000,4000,50,0.0001,128,1,,,10,,,725,,
20,0,DiffusionNet,UMIST,4000,4000,50,0.0001,128,1,,,100,,100,,,
10,1,EAERMargin,RotatedDigits,4000,4000,50,0.0001,128,1,,,,,,,100,1
32,1,EAERMargin,SwissRoll,400,400,10,0.0001,128,1,,,,,,,100,1
25,1,EAERMargin,Teapot,4000,4000,50,0.0001,128,1,,,,,,,100,1
40,1,EAERMargin,Tracking,4000,4000,50,0.0001,128,1,,,,,,,100,1
20,1,EAERMargin,UMIST,4000,4000,50,0.0001,128,1,,,,,,,100,1
35,1,GRAEUMAP,Embryoid,1000,1000,30,0.0001,128,1,,,50,0.1,,,100,
12,1,GRAEUMAP,Faces,4000,4000,50,0.0001,128,1,,,15,0.1,,,100,
12,1,EAERMargin,Faces,4000,4000,50,0.0001,128,1,,,,,,,100,1
10,1,GRAEUMAP,RotatedDigits,4000,4000,50,0.0001,128,1,,,15,0.1,,,100,
32,1,GRAEUMAP,SwissRoll,400,400,10,0.0001,128,1,,,20,0.1,,,100,
15,1,GRAEUMAP,Teapot,4000,4000,50,0.0001,128,1,,,15,0.1,,,100,
30,1,GRAEUMAP,Tracking,4000,4000,50,0.0001,128,1,,,15,0.1,,,100,
20,1,GRAEUMAP,UMIST,4000,4000,50,0.0001,128,1,,,15,0.1,,,100,
410,2,EAERMargin,Embryoid,1000,1000,30,0.0001,128,1,,,,,,,100,1
88,3,GRAEUMAP,IPSC,1000,1000,30,0.0001,128,1,,,50,0.1,,,100,
304,4,EAERMargin,IPSC,1000,1000,30,0.0001,128,1,,,,,,,100,1
35,5,GRAE,Embryoid,1000,1000,30,0.0001,128,1,50,15,,,,,100,
12,5,GRAE,Faces,4000,4000,50,0.0001,128,1,50,5,,,,,100,
10,5,GRAE,RotatedDigits,4000,4000,50,0.0001,128,1,50,5,,,,,100,
32,5,GRAE,SwissRoll,400,400,10,0.0001,128,1,50,20,,,,,100,
20,5,GRAE,Teapot,4000,4000,50,0.0001,128,1,50,5,,,,,100,
35,5,GRAE,Tracking,4000,4000,50,0.0001,128,1,50,15,,,,,100,
20,5,GRAE,UMIST,4000,4000,50,0.0001,128,1,50,5,,,,,100,
148,6,GRAE,IPSC,1000,1000,30,0.0001,128,1,250,15,,,,,100,
135,7,TopoAE,Embryoid,1000,1000,30,0.0001,128,1,,,,,,,100,
520,8,TopoAE,IPSC,1000,1000,30,0.0001,128,1,,,,,,,100,
30,9,TopoAE,Faces,4000,4000,50,0.0001,128,1,,,,,,,100,
35,9,TopoAE,RotatedDigits,4000,4000,50,0.0001,128,1,,,,,,,100,
128,9,TopoAE,SwissRoll,400,400,10,0.0001,128,1,,,,,,,100,
30,9,TopoAE,Teapot,4000,4000,50,0.0001,128,1,,,,,,,100,
90,9,TopoAE,Tracking,4000,4000,50,0.0001,128,1,,,,,,,100,
30,9,TopoAE,UMIST,4000,4000,50,0.0001,128,1,,,,,,,100,
